Brand,ProductName,DiscountedPrice,ActualPrice,Rating,NumberOfRatings,NumberOfReviews,SalesPackage,ModelNumber,PartNumber,ModelName,Series,Color,Type,SuitableFor,MSOfficeProvided,ProcessorBrand,ProcessorName,SSD,RAM,RAMType,StorageCapacity,GraphicProcessor,StorageType,OperatingSystem,USBPort,TouchScreen,ScreenSize,ScreenResolution,ScreenType,Speakers,InternalMic,WirelessLAN,Bluetooth,Dimensions,Weight,DiskDrive,WebCamera,Keyboard,WarrantySummary,WarrantyServiceType,CoveredinWarranty,NotCoveredinWarranty,ClockSpeed
HP,"HP Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE Chromebook  (11.6 Inch, Black, 1.34 Kg)",9990,34554,3.7,7031,588,"Laptop, Power Adaptor, User Guide, Warranty Documents",11MK G9 EE,7D2W3PC#ACJ,11MK G9,Chromebook,Black,Chromebook,Processing & Multitasking,No,MediaTek,MT8183,No,4 GB,LPDDR4X,,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,Chrome,4,,,1366 x 768 Pixel,"HD, IPS, anti-glare, 220 nits, 50% NTSC",Yes,Yes,,v4.2,295 x 205.3 x 18.8 mm,1.34 Kg,Not Available,720p HD camera,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,Max Turbo Frequency up to 4.6 GHz
HP,"HP 15s AMD Ryzen 5 Hexa Core 4500U - (8 GB/256 GB SSD/Windows 10 Home) 15s-ey1004AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 KG, With MS Office)",38990,55000,4.4,479,58,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-ey1004AU,38Z30PA#ACJ,11MK G9,15s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Hexa Core,Yes,8 GB,DDR4,,AMD Radeon Vega 8,SSD,Windows 10 Home,"1 x SuperSpeed USB Type C (5 Gbps Signaling Rate), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",,,1366 x 768 Pixel,"Full HD WLED Backlit, Micro-Edge, Anti-Glare Display (220 nits Brightness, 141 PPI, 45% NTSC Color Gamut)",Inbuilt Dual Speakers,Integrated Dual Array Digital Microphone,,v4.2,358 x 242 x 17.9,1.69 KG,Not Available,HP True Vision HD Webcam,"Full-Size, Natural Silver English Keyboard with Numeric Keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,2.3 GHz with Max Turbo Boost upto 4.0 GHz
HP,"HP Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook  (14 Inch, Mineral Silver, 1.46 kg)",15990,30000,3.7,1449,135,"Laptop, Battery, Adapter, Cables, User Manuals",14a- na1004TU,5C5M4PA#ACJ,Chromebook,Chromebook,Mineral Silver,Chromebook,Processing & Multitasking,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4,,Intel Integrated UHD,eMMC,Chrome,"2 x SuperSpeed USB Type-C 5 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",,,1920 x 1080 Pixels,"Full HD, IPS, Anti-Glare, Micro-Edge, Brightness: 250 nits, 157 PPI, Color Gamut: 45% NTSC, Screen-to-Body Ratio: 82%",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,,v5.0,325 x 218 x 17.8 mm,1.46 kg,Not Available,HP 720 Wide Vision HD Camera,"Full Size, Natural Silver keyboard",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,"Base Frequency 1.1 GHz, Max Turbo Boost Frequency Up to 2.8 GHz"
ASUS,"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)",13490,32990,3.8,2336,203,"Laptop, Charger, Product manual",CX1400CKA-NK0453,90NX03I2-M00FX0,CX1400CKA-NK0453,Chromebook,Transparent Silver,Chromebook,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",,,1920 x 1080 Pixel,"Full HD, LED Backlit",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,,v5.2,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
Acer,"Acer AMD Ryzen 7 Octa Core 5th Gen - (16 GB/512 GB SSD/Windows 11 Home) UN.31ZSI.013 Laptop  (15.6 inch, Steel Gray, With MS Office)",41990,68999,3.9,(4392),203,"Laptop, Power Adaptor, User Guide, Warranty Documents",UN.31ZSI.013,UN.31ZSI.013,Acer Aspire Lite,Chromebook,Steel Gray,Laptop,Everyday Use,Yes,AMD,Ryzen 7 Octa Core,Yes,16 GB,DDR4,,AMD Radeon AMD,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",,,1920 x 1080 pixel,"Full HD, LED Backlit",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,,YES,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,Chiclet Keyboard,1 YEAR,Onsite,Manufacturing Defects,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
Infinix,"Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop  (14 Inch, Cosmic Blue, 1.24 kg)",47701,64999,4,834,125,"Laptop, Power Adaptor, User Guide, Warranty Documents",XL21,71008300407,XL21,X1 Slim Series,Cosmic Blue,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business, Learning",No,Intel,Core i5,Yes,16 GB,LPDDR4X,,Intel Integrated UHD Graphics,SSD,Windows 11 Home,2 x USB 3.0,,,1920 x 1080 Pixel,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,v5.1,323.3 x 14.8 x 211.1 mm,1.24 kg,Not Available,HD Webcam,Backlit Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1.0 GHz upto Max Turbo Frequency at 3.6 GHz
MICROSOFT,"MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) ZIA-00014 2 in 1 Laptop  (13 Inch, Platinum, 0.895 Kg)",161990,165999,4.7,834,125,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZIA-00014,ZIA-00014,ZIA-00014,Surface Pro (11th Edition) AI PC,Platinum,2 in 1 Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Elite,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),SSD,Windows 11 Home,2 X USB-C with USB 4,,,2880 x 1920 Pixel,OLED PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,287 x 208 x 9.3 mm,0.895 Kg,Not Available,"Front Camera - 12MP, 1440p@30 fps (QHD) video & 10MP, 4K@30 fps Video Resolution",Backlit Keyboard,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,1.0 GHz upto Max Turbo Frequency at 3.6 GHz
MICROSOFT,"MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) ZGJ-00023 Laptop  (13.8 Inch, Platinum, 1.22 Kg)",113990,116999,4.7,(29),125,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZGJ-00023,ZGJ-00023,ZGJ-00023,Surface Laptop (7th Edition) AI PC,Platinum,Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Plus,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),SSD,Windows 11 Home,"2 x USB-C with USB4, 1 x USB-A 3.1",,,2304 x 1536 Pixel,LCD PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,301 x 220 x 17.5 mm,1.22 Kg,Not Available,"2MP, 1080p Full HD front facing",Backlit Keyboard,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,1.0 GHz upto Max Turbo Frequency at 3.6 GHz
Lenovo,"Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin and Light Laptop  (14 Inch, Black, 1.41 Kg)",47999,89000,4,112,9,"Laptop, User manual, Adapter",TP E14 Gen 5,21JRS00U00,TP E14 Gen 5,ThinkPad E14,Black,Thin and Light Laptop,Processing & Multitasking,No,AMD,Ryzen 5 Hexa Core,Yes,8 GB,DDR4,,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4), 1 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,,1920 x 1200 Pixel,WUXGA IPS Anti-glare Display,Yes,Yes,,v5.1,313 x 219.3 x 17.99 mm,1.41 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",Backlit Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,2.0 GHz with Turbo Boost Upto 4.5 GHz
Avita,"Avita With Free USB Charging Backpack Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) AM14A2INF56F-SLF Thin and Light Laptop  (14.1 inch, Silver, 1.53 kg)",31990,75980,3.6,12,4,"1 x Laptop, 1 x Charger, 1 x User Manual, 1 x Warranty Card",AM14A2INF56F-SLF,AM14A2INF56F-SLF,Avita Liber E i5,With Free USB Charging Backpack,Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Learning, Performance, Processing & Multitasking, Travel & Business",No,Intel,Core i5,Yes,8 GB,DDR4,,Intel Integrated Iris Xe,SSD,Windows 11 Home,"2 x USB 3.0, 1 x USB 2.0, 1 x Full Function Type-C, 2 x Data USB 2.0 Type-C",,,1920 x 1080 Pixel,Full HD,4 (1.5W Dual Speakers + 0.8W Dual Speakers),Yes,,Yes,313 x 219.3 x 17.99 mm,1.53 kg,Not Available,1MP,Backlit Keyboard,1 Year Manufacturing Warranty,Onsite,Manufacturing Defect,Physical Damage,"Base Frequency 3.3GHz, Turbo at 4.4 GHz"
