Brand,ProductName,DiscountedPrice,ActualPrice,Rating,NumberOfRatings,NumberOfReviews,SalesPackage,ModelNumber,PartNumber,ModelName,Series,Color,Type,SuitableFor,MSOfficeProvided,ProcessorBrand,ProcessorName,SSD,RAM,RAMType,StorageCapacity,GraphicProcessor,StorageType,OperatingSystem,USBPort,TouchScreen,ScreenSize,ScreenResolution,ScreenType,Speakers,InternalMic,WirelessLAN,Bluetooth,Dimensions,Weight,DiskDrive,WebCamera,Keyboard,WarrantySummary,WarrantyServiceType,CoveredinWarranty,NotCoveredinWarranty,ClockSpeed
ASUS,"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)",13490,32990,3.8,2336,203,"Laptop, Charger, Product manual",CX1400CKA-NK0453,90NX03I2-M00FX0,CX1400CKA-NK0453,Chromebook,Transparent Silver,Chromebook,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",,,1920 x 1080 Pixel,"Full HD, LED Backlit",Yes,Yes,,v5.2,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
MICROSOFT,"MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) ZIA-00014 2 in 1 Laptop  (13 Inch, Platinum, 0.895 Kg)",161990,165999,4.7,2336,203,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZIA-00014,ZIA-00014,ZIA-00014,Surface Pro (11th Edition) AI PC,Platinum,2 in 1 Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Elite,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),SSD,Windows 11 Home,2 X USB-C with USB 4,,,2880 x 1920 Pixel,OLED PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,287 x 208 x 9.3 mm,0.895 Kg,Not Available,"Front Camera - 12MP, 1440p@30 fps (QHD) video & 10MP, 4K@30 fps Video Resolution",Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
Acer,"Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light Laptop  (15.6 Inch, Silver, 1.79 Kg)",31990,54990,4.1,1312,178,"Laptop, Power Adaptor, User Guide, Warranty Documents",A325-42,UN.34QSI.001,A325-42,Aspire 3 Backlit,Silver,Thin and Light Laptop,Everyday Use,No,AMD,Ryzen 5 Hexa Core,Yes,8 GB,DDR4,,AMD Radeon AMD,SSD,Windows 11 Home,"3 x USB ports, 2 x Type-C port",,,1920 x 1080 Pixel,Full HD,Two built-in front facing stereo speakers,Yes,,v5.1,360.8 x 253.33 x 19.3 mm,1.79 Kg,Not Available,Full HD camera,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,Up to 4.3 GHz
ASUS,"ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX706HF-HX018W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 kg)",47990,77990,4.3,1003,109,"Laptop, Power Adaptor, User Guide, Warranty Documents",FX706HF-HX018W,90NR0HC4-M001H0,FX706HF-HX018W,TUF Gaming F17 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,8 GB,DDR4,,NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,"1 x Thunderbolt 4 support DisplayPort, 3 x USB 3.2 Gen 1 Type-A, 1 x Thunderbolt 4 support DisplayPort",,,1920 x 1080 Pixel,"FHD, 16:9 aspect ratio, 144Hz, 85/85/85/85, Value IPS-level, 250nits, 1000:1, 45%, 62.5%, 47.34%, Anti-glare display, Adaptive-Sync",Built-in Dual Speakers,Built-in array microphone,,v5.2,399 x 269 x 23.3 ~ 24.8,2.60 kg,Not Available,720P HD camera,Backlit Chiclet Keyboard 1-Zone RGB,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,2.70GHz Upto 4.50GHz
MICROSOFT,"MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) ZGJ-00023 Laptop  (13.8 Inch, Platinum, 1.22 Kg)",113990,116999,4.7,(29),109,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZGJ-00023,ZGJ-00023,ZGJ-00023,Surface Laptop (7th Edition) AI PC,Platinum,Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Plus,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),SSD,Windows 11 Home,"2 x USB-C with USB4, 1 x USB-A 3.1",,,2304 x 1536 Pixel,LCD PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,301 x 220 x 17.5 mm,1.22 Kg,Not Available,"2MP, 1080p Full HD front facing",Backlit Chiclet Keyboard 1-Zone RGB,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,2.70GHz Upto 4.50GHz
Acer,"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",17990,33999,4.2,(29),109,"Laptop, Power Adaptor, User Guide, Warranty Documents",A311-45,UN.354SI.004,Aspire 3,Aspire 3,Steel Grey,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",No,Intel,Celeron Dual Core,Yes,8 GB,DDR4,,Intel Integrated UHD,SSD,Windows 11 Home,"1 x Type C Port, 3 x USB 3.2 Port",,,1366 x 768 Pixels,LCD PixelSense TM Touchscreen,Two Built-in Stereo Speakers,Dual Studio Mics with Voice Focus,,v4.2,277.3 x 193.3 x 16.8 mm,1.0 kg,Not Available,1280 x 720 Resolution/720p HD Video,74-/75-/78-key Acer FineTip Keyboard,1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,2.70GHz Upto 4.50GHz
Acer,"Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 Kg)",33490,56999,4,698,60,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-41,UN.31ZSI.00Y,AL15-41,Aspire Lite,Steel Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,AMD,Ryzen 5 Hexa Core,Yes,16 GB,DDR4,,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",,,1920 x 1080 Pixel,Full HD,Yes,Yes,,v5.1,360.40 x 239.30 x 19.7 mm,1.59 Kg,Not Available,"HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","100-/101-/104-key keyboard with independent numeric keypad, international language support",1 Year Carry-in Warranty,Onsite,Manufacturing Defects,Physical Damage,Max Frequency Upt o 4.00 GHz
HP,"HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",36980,54552,4.2,7963,584,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,Aspire Lite,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Yes,AMD,Ryzen 5 Hexa Core,Yes,8 GB,DDR4,,AMD Radeon AMD,SSD,Windows 11 Home,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",,,1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz
Acer,"Acer Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) C734-C2ED Chromebook  (11.6 inch, Pure Black, 1.26 Kg)",16990,28999,4.1,14,2,"Laptop, Power Adaptor, User Guide, Warranty Documents",C734-C2ED,NX.AYVSI.006,C734,Chromebook,Pure Black,Chromebook,Processing & Multitasking,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port",,,1280 X 1024 Pixel,HD LED-backlit TFT LCD,Yes,Yes,,v5.1,296 x 206 x 21.1 mm,1.26 Kg,Not Available,"UFC with USB 6 mm HD camera, Compatible with Chromebook only, 1280 x 1024 resolution, 720p HD video at 30 fps with Temporal Noise Reduction",74-/75-/78-key Acer FineTip EDU anchored keyboard with international language support,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ540WS|X1504ZA-NJ542WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.70 Kg, With MS Office)",46990,73990,4.2,6509,351,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ540WS|X1504ZA-NJ542WS,90NB14H2-M00010|90NB1022-M00H20,X1504ZA-NJ540WS|X1504ZA-NJ542WS,"Vivobook 15, with Backlit Keyboard,",Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,16 GB,DDR4,,Intel Integrated Integrated,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A, 1 x DC-in",,,1920 x 1080 Pixel,"FHD 16:9 aspect ratio, LED Backlit, Refresh rate: 60Hz, Brightness: 250nits, Color gamut: 45% NTSC color gamut, Glare: Anti-glare display, TÜV Rheinland-certified: Screen-to-body ratio: 84%",Built-in speaker,Built-in array microphone,,v5.3,359.7 x 232.5 x 17.9mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Upto 4.4 GHz
